url,title,brand,Switch Type,Hot-Swap,Keycaps,Keycap Color,Size,Key Count,Frame Color,LED Backlight,Connection,Response Rate,N-Key Rollover,Anti-Ghosting,Compatibility,Physical Layout,Regional Layout,Dimensions,Weight,Warranty,model
https://keybumps.com/keyboard/das-keyboard-model-s-professional.html,Das Keyboard Model S Professional Mechanical Keyboard,Das Keyboard,Cherry MX Blue or Brown,No,,Black,Full Size,104 keys,Black,Blue,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,18 x 6.5 x 1 in,1.36 kg (3 lbs),1 Year,Model S Professional
https://keybumps.com/keyboard/das-keyboard-x50q.html,Das Keyboard X50Q Mechanical Keyboard,Das Keyboard,Gamma Zulu,No,,Black,Full Size,104 keys,Black,RGB,USB 2.0,1 ms / 1000 Hz,Full Key (NKRO),100%,Windows 10,ANSI,US English,1.28 x 6.63 x 18 in (3.2 x 16.8 x 45.7 cm),3.5 lbs (1.55 kg),1 Year,X50Q
https://keybumps.com/keyboard/drop-alt-barebones.html,Drop ALT Barebones 65% Mechanical Keyboard,Drop,Plate mount (3-pin),Yes,Not included,Not included,65%,67 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,12.7 x 4.4 x 1.25 in (32.2 x 11.2 x 3.2 cm),24.5 oz (696 g),1 Year,ALT Barebones 65%
https://keybumps.com/keyboard/drop-alt-high-profile-barebones.html,Drop ALT High Profile Barebones 65% Mechanical Keyboard,Drop,Plate mount,Yes,Not included,Not included,65%,67 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,12.7 x 4.4 x 1.25 in (32.2 x 11.2 x 3.2 cm),24.5 oz (696 g),1 Year,ALT High Profile Barebones 65%
https://keybumps.com/keyboard/drop-alt-high-profile.html,Drop ALT High Profile Hot-Swap RGB 65% Mechanical Keyboard,Drop,"Cherry MX, Kailh, or Halo",Yes,Double-shot PBT,Gray/Black,65%,67 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,12.67 x 4.41 x 1.3 in (32.2 x 11.2 x 3.3 cm),"43 oz (1,219 g)",1 Year,ALT High Profile Hot-Swap RGB 65%
https://keybumps.com/keyboard/drop-alt.html,Drop ALT Hot-Swap RGB 65% Mechanical Keyboard,Drop,"Cherry MX, Kailh, or Halo",Yes,Double-shot PBT,Gray/Black,65%,67 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,12.67 x 4.41 x 1.26 in (32.2 x 11.2 x 3.2 cm),24.5 oz (696 g),1 Year,ALT Hot-Swap RGB 65%
https://keybumps.com/keyboard/drop-ctrl-barebones.html,Drop CTRL Barebones TKL Mechanical Keyboard,Drop,Plate mount,Yes,Not included,Not included,Tenkeyless (TKL),87 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,14.5 x 5.5 x 1.4 in (36.8 x 14 x 3.6 cm),34 oz (964 g),1 Year,CTRL Barebones TKL
https://keybumps.com/keyboard/drop-ctrl-high-profile-barebones.html,Drop CTRL High Profile Barebones TKL Mechanical Keyboard,Drop,Plate mount,Yes,None,,Tenkeyless (TKL),87 keys,,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,12.67 x 4.41 x 1.3 in (32.2 x 11.2 x 3.3 cm),"43 oz (1,219 g)",1 Year,CTRL High Profile Barebones TKL
https://keybumps.com/keyboard/drop-ctrl-high-profile.html,Drop CTRL High Profile TKL Mechanical Keyboard,Drop,"Cherry MX, Kailh or Halo",No,Double-shot PBT shine-through,,Tenkeyless (TKL),87 keys,,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,14.5 x 5.5 x 1.75 in (36.8 x 14 x 4.4 cm),4.25 lbs (1.9 kg),1 Year,CTRL High Profile TKL
https://keybumps.com/keyboard/drop-entr.html,Drop ENTR White LED TKL Mechanical Keyboard,Drop,Gateron Yellow or Halo True,No,Double-shot PBT shine-through,,Tenkeyless (TKL),87 keys,,White,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,14.2 x 5 x 1.25 in (36 x 12.8 x 3.2 cm),2.05 lbs (0.93 kg),1 Year,ENTR White LED TKL
